user_id,game_id,rate
1,1,5
1,2,5
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
2,22,1
3,27,5
3,28,5
3,1,5
3,29,2
3,30,1
3,31,1
3,32,1
3,33,1
3,34,1
3,35,1
3,36,1
3,37,1
3,38,1
3,39,1
3,40,1
3,41,1
3,42,1
3,43,1
3,44,1
3,45,1
3,46,1
3,10,1
4,47,5
4,48,5
4,5,5
4,49,5
4,50,5
4,51,4
4,52,2
4,53,2
4,54,2
4,55,2
4,45,2
4,56,2
4,57,2
4,58,2
4,59,2
4,60,2
4,61,2
4,62,2
4,63,2
4,64,2
4,65,2
4,66,2
4,67,2
4,68,2
4,69,1
4,70,1
4,71,1
4,72,1
4,73,1
4,74,1
4,75,1
4,76,1
4,77,1
4,78,1
4,79,1
4,80,1
4,81,1
4,82,1
4,83,1
4,38,1
4,84,1
4,85,1
4,86,1
4,87,1
4,88,1
4,89,1
4,90,1
4,4,1
4,91,1
4,92,1
4,93,1
4,94,1
4,95,1
4,96,1
4,97,1
4,98,1
4,99,1
4,29,1
4,100,1
4,101,1
4,102,1
4,103,1
4,104,1
4,105,1
4,106,1
4,107,1
4,108,1
4,109,1
4,110,1
4,111,1
4,112,1
4,113,1
4,114,1
4,115,1
4,116,1
4,117,1
4,118,1
4,119,1
4,120,1
4,121,1
4,122,1
4,123,1
4,124,1
4,125,1
4,126,1
4,127,1
4,128,1
4,129,1
4,130,1
4,131,1
4,132,1
4,133,1
4,134,1
4,135,1
4,136,1
4,137,1
4,9,1
4,138,1
4,18,1
4,139,1
4,140,1
4,141,1
4,142,1
4,30,1
4,143,1
4,144,1
4,145,1
4,146,1
4,147,1
4,148,1
4,149,1
4,150,1
4,151,1
4,152,1
4,153,1
4,154,1
4,155,1
4,156,1
4,157,1
4,158,1
4,23,1
4,159,1
4,160,1
4,161,1
4,162,1
4,163,1
4,164,1
4,165,1
4,166,1
4,167,1
4,168,1
4,169,1
4,170,1
4,171,1
4,34,1
4,172,1
4,173,1
4,174,1
4,175,1
4,176,1
4,177,1
4,3,1
4,178,1
4,179,1
4,180,1
4,181,1
4,182,1
4,183,1
4,184,1
4,185,1
4,186,1
4,187,1
4,188,1
4,189,1
4,190,1
4,191,1
4,192,1
4,193,1
4,194,1
4,195,1
4,196,1
4,197,1
4,198,1
4,199,1
4,200,1
4,201,1
4,202,1
4,203,1
4,204,1
4,205,1
4,206,1
4,207,1
4,208,1
4,209,1
4,210,1
4,211,1
4,212,1
4,213,1
4,214,1
4,215,1
4,216,1
4,217,1
4,218,1
4,219,1
4,220,1
4,221,1
4,222,1
4,223,1
4,224,1
4,225,1
4,44,1
4,226,1
4,227,1
4,228,1
4,229,1
4,230,1
4,231,1
5,10,1
6,232,5
6,233,4
6,234,2
6,235,1
6,236,1
6,237,1
6,238,1
7,22,1
8,22,1
9,10,4
10,22,1
11,239,4
12,240,2
12,10,1
12,241,1
13,242,1
14,22,1
14,11,1
14,243,1
15,22,1
16,22,5
16,40,5
16,235,5
16,244,5
16,76,4
16,10,2
16,245,1
16,246,1
16,25,1
16,247,1
16,206,1
16,24,1
16,53,1
16,248,1
16,13,1
16,249,1
16,250,1
17,22,1
17,251,1
18,22,1
19,22,5
20,40,5
21,22,1
22,22,1
23,10,1
24,22,1
25,241,1
26,22,1
27,252,4
27,253,2
27,65,2
27,254,2
27,255,2
27,156,1
27,58,1
27,256,1
27,10,1
27,22,1
27,257,1
27,258,1
27,259,1
27,260,1
27,261,1
27,262,1
27,142,1
