user_id,user_id_steam
1,151603712
2,187131847
3,59945701
4,53875128
5,140954425
6,26122540
7,176410694
8,197278511
9,150128162
10,197455089
11,63024728
12,297811211
13,76933274
14,218323237
15,302186258
16,126340495
17,194895541
18,170625356
19,167362888
20,208649703
21,225987202
22,195071563
23,254906420
24,247160953
25,308653033
26,144138643
27,97298878
28,173909336
29,198572546
30,219509107
31,202906503
32,92107940
33,251431515
34,233558010
35,99189757
36,30695285
37,259648553
38,201069271
39,48845802
40,226212066
41,221430493
42,62923086
43,250006052
44,65117175
45,227944885
46,144004384
47,236557903
48,11373749
49,140293612
50,187851224
51,192921532
52,54103616
53,222277839
54,298547051
55,264253640
56,125718844
57,230599183
58,280061602
59,38763767
60,164543231
61,163617342
62,295931968
63,165034415
64,298389371
65,27543430
66,126640783
67,119410870
68,243440565
69,157694162
70,154868247
71,263856756
72,124395695
73,126656629
74,197821092
75,294797577
76,228507886
77,272425320
78,49769103
79,202742019
80,239397807
81,300601393
82,109278470
83,197509386
84,92842632
85,103973922
86,5270060
87,171847029
88,111479516
89,64350600
90,117217039
91,93085014
92,180331040
93,180596443
94,303032390
95,150103338
96,92173524
97,151229648
98,253773352
99,250870371
100,175143479
101,56038151
102,124884511
103,148928721
104,150965343
105,46759859
106,268158408
107,257377008
108,133262375
109,202092286
110,136554467
111,185040259
112,287943546
113,136246724
114,189191657
115,57234698
116,198201128
117,55446861
118,2428602
119,104077418
120,252438345
121,164927653
122,272820556
123,9544834
124,287061478
125,32592631
126,57103808
127,215578265
128,197172884
129,242349023
130,99609673
131,63276972
132,183005527
133,92342574
134,255168531
135,87445402
136,248613483
137,107948398
138,84668956
139,226130045
140,145904806
141,164591420
142,171982044
143,187533357
144,94088853
145,48058475
146,170095814
147,212751581
148,301883131
149,31887051
150,116085629
151,106238372
152,202395275
153,248444377
154,25941262
155,148510973
156,64369759
157,289893544
158,223471406
159,210778610
160,125699277
161,173857208
162,9823354
163,165269326
164,226033921
165,232064401
166,141593973
167,174965596
168,100519466
169,107886872
170,153415214
171,180789959
172,236541446
173,155997063
174,168031436
175,169358223
176,181269219
