user_id,game_name,rate
59945701,Ultra Street Fighter IV,5
59945701,FINAL FANTASY XIII,5
59945701,The Elder Scrolls V Skyrim,5
59945701,Sid Meier's Civilization V,3
59945701,L.A. Noire,3
59945701,Company of Heroes Tales of Valor,2
59945701,7 Days to Die,2
59945701,Divekick,2
59945701,FINAL FANTASY VII,2
59945701,Orcs Must Die! 2,1
59945701,Killing Floor,1
59945701,Company of Heroes,1
59945701,Bastion,1
59945701,Undertale,1
59945701,Counter-Strike Global Offensive,1
59945701,Orcs Must Die!,1
59945701,THE KING OF FIGHTERS XIII STEAM EDITION,1
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,1
59945701,Skullgirls,1
59945701,Assassin's Creed II,1
59945701,Company of Heroes Opposing Fronts,1
59945701,Team Fortress 2,1
76933274,Alien Swarm,1
126340495,Dota 2,5
126340495,Counter-Strike Global Offensive,5
126340495,Counter-Strike Source,5
126340495,Rust,5
126340495,Saints Row IV,5
126340495,Team Fortress 2,3
126340495,Dead Island Riptide,3
126340495,Flatout 3,2
126340495,Garry's Mod,2
126340495,Counter-Strike Nexon Zombies,2
126340495,Outlast,1
126340495,Robocraft,1
126340495,Far Cry 3,1
126340495,Everlasting Summer,1
126340495,Dead Island Epidemic,1
126340495,War Thunder,1
126340495,DCS World,1
92107940,The Elder Scrolls V Skyrim,5
92107940,7 Days to Die,5
92107940,Garry's Mod,5
92107940,Far Cry 3 Blood Dragon,4
92107940,ORION Prelude,2
92107940,Hotline Miami,2
92107940,Goat Simulator,1
92107940,Hotline Miami 2 Wrong Number,1
92107940,Amnesia A Machine for Pigs,1
99189757,Team Fortress 2,5
30695285,Counter-Strike Condition Zero,5
30695285,Counter-Strike,1
144004384,Dota 2,3
11373749,Team Fortress 2,5
11373749,Rocket League,5
11373749,Left 4 Dead 2,5
11373749,The Elder Scrolls V Skyrim,5
11373749,Audiosurf,5
11373749,Fallout 3 - Game of the Year Edition,5
11373749,The Elder Scrolls IV Oblivion ,5
11373749,Terraria,5
11373749,Assassin's Creed Brotherhood,5
11373749,Grand Theft Auto V,5
11373749,Saints Row 2,5
11373749,Grand Theft Auto Episodes from Liberty City,5
11373749,The Witcher Enhanced Edition,5
11373749,Super Meat Boy,5
11373749,Left 4 Dead,5
11373749,Saints Row The Third,5
11373749,Batman Arkham Origins,5
11373749,The Witcher 2 Assassins of Kings Enhanced Edition,5
11373749,The Elder Scrolls III Morrowind,5
11373749,Bookworm Adventures Deluxe,5
11373749,Star Wars Knights of the Old Republic,5
11373749,Watch_Dogs,4
11373749,Sleeping Dogs,4
11373749,GRID,4
11373749,Hidden Object Bundle 4 in 1,4
11373749,Darksiders,3
11373749,Worms Reloaded,3
11373749,FlatOut Ultimate Carnage,3
11373749,SimCity 4 Deluxe,3
11373749,Portal 2,3
11373749,Call of Duty Black Ops - Multiplayer,3
11373749,Rogue Legacy,3
11373749,Trine,3
11373749,Chivalry Medieval Warfare,3
11373749,Spelunky,3
11373749,Ghost Master,3
11373749,Peggle Deluxe,3
11373749,Alan Wake,3
11373749,Peggle Nights,3
11373749,Sherlock Holmes Nemesis,3
11373749,Puzzler World 2,3
11373749,Tomb Raider,3
11373749,Bejeweled 3,3
11373749,Half-Life 2,3
11373749,Alice Madness Returns,3
11373749,BioShock,3
11373749,The Book of Unwritten Tales,3
11373749,FEZ,3
11373749,The Movies,3
11373749,Guacamelee! Gold Edition,3
11373749,The Walking Dead,3
11373749,MacGuffin's Curse,3
11373749,The Testament of Sherlock Holmes,3
11373749,Bully Scholarship Edition,2
11373749,Indigo Prophecy,2
11373749,Just Cause 2,2
11373749,Crazy Machines 2,2
